Index,title,artist,image,rank,year
3026,Treat You Better,Shawn Mendes,https://charts-static.billboard.com/img/2014/07/shawn-mendes-hoz-53x53.jpg,28,2016
3027,Too Good,Drake Featuring Rihanna,https://charts-static.billboard.com/img/2016/05/drake-hq6-too-good-btp-53x53.jpg,29,2016
3028,Low Life,Future Featuring The Weeknd,https://charts-static.billboard.com/img/1988/03/future-f8b-53x53.jpg,30,2016
3029,What Do You Mean?,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,31,2016
3030,The Hills,The Weeknd,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-53x53.jpg,32,2016
3031,Just Like Fire,P!nk,https://charts-static.billboard.com/img/2016/04/pnk-e1s-53x53.jpg,33,2016
3032,Broccoli,D.R.A.M. Featuring Lil Yachty,https://charts-static.billboard.com/img/2016/04/dram-fpd-53x53.jpg,34,2016
3033,Don't,Bryson Tiller,https://charts-static.billboard.com/img/2015/01/bryson-tiller-ufm-53x53.jpg,35,2016
3034,Dangerous Woman,Ariana Grande,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-53x53.jpg,36,2016
3035,Jumpman,Drake & Future,https://charts-static.billboard.com/img/2009/04/drake-p3d-53x53.jpg,37,2016
3036,I Hate U I Love U,gnash Featuring Olivia O'Brien,https://charts-static.billboard.com/img/2016/01/gnash-alj-53x53.jpg,38,2016
3037,Here,Alessia Cara,https://charts-static.billboard.com/img/2015/06/alessia-cara-9x8-53x53.jpg,39,2016
3038,Same Old Love,Selena Gomez,https://charts-static.billboard.com/img/2015/09/selena-gomez-nxt-same-old-love-3k3-53x53.jpg,40,2016
3039,Controlla,Drake,https://charts-static.billboard.com/img/2016/04/drake-hq6-53x53.jpg,41,2016
3040,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,https://charts-static.billboard.com/img/2015/01/meghan-trainor-oaq-like-im-gonna-lose-you-fig-53x53.jpg,42,2016
3041,One Call Away,Charlie Puth,https://charts-static.billboard.com/img/2015/11/charlie-puth-w4y-53x53.jpg,43,2016
3042,Let It Go,James Bay,https://charts-static.billboard.com/img/2014/06/james-bay-sha-53x53.jpg,44,2016
